Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
17_TD_PE2_2_1	HDR	90.90909091	9.09090909	3816	3766	11	10	1	0	0	0	1	0	0	1	0	0	0	0
17_TD_PE2_2_2	Reference	97.44623656	2.55376344	4573	4479	4464	4350	114	0	0	4	110	0	4	110	0	0	0	0
17_TD_PE2_2_2	HDR	93.33333333	6.66666667	4573	4479	15	14	1	0	0	0	1	0	0	1	0	0	0	0
18_NM_PE2_2_1	Reference	98.17523989	1.82476011	9170	8288	6357	6241	116	0	2	1	113	2	1	113	0	0	0	0
18_NM_PE2_2_1	HDR	97.72020725	2.27979275	9170	8288	1930	1886	44	0	1	2	41	1	2	41	0	0	0	0
18_NM_PE2_2_2	Reference	98.38230046	1.61769954	12007	11568	8407	8271	136	0	1	1	134	1	1	134	0	0	0	0
18_NM_PE2_2_2	HDR	98.31906121	1.68093879	12007	11568	3153	3100	53	0	0	0	53	0	0	53	0	0	0	0
18_TD_PE2_2_1	Reference	96.77213167	3.22786833	3199	3134	3129	3028	101	0	0	1	100	0	1	100	0	0	0	0
18_TD_PE2_2_1	HDR	100	0	3199	3134	1	1	0	0	0	0	0	0	0	0	0	0	0	0
18_TD_PE2_2_2	Reference	96.53498201	3.46501799	29120	28711	28629	27637	992	0	0	13	980	0	12	979	0	0	1	0
18_TD_PE2_2_2	HDR	100	0	29120	28711	13	13	0	0	0	0	0	0	0	0	0	0	0	0
19_NM_PE2_2_1	Reference	96.27358491	3.72641509	7827	7506	4240	4082	158	0	2	71	127	0	31	87	0	0	38	2
19_NM_PE2_2_1	HDR	85.21126761	14.78873239	7827	7506	3266	2783	483	0	24	187	299	18	166	273	0	5	20	1
19_NM_PE2_2_2	Reference	96.26076261	3.73923739	7984	7603	4065	3913	152	0	2	64	134	1	17	87	0	0	46	1
19_NM_PE2_2_2	HDR	85.38722442	14.61277558	7984	7603	3538	3021	517	0	14	189	338	12	167	314	0	2	22	0
19_TD_PE2_2_1	Reference	97.46578814	2.53421186	2111	2054	1973	1923	50	0	3	0	49	1	0	47	0	2	0	0
19_TD_PE2_2_1	HDR	86.41975309	13.58024691	2111	2054	81	70	11	0	1	7	4	1	6	3	0	0	1	0
19_TD_PE2_2_2	Reference	97.81717888	2.18282112	13345	13171	12690	12413	277	0	7	6	268	3	6	264	0	4	0	0
19_TD_PE2_2_2	HDR	84.66386555	15.33613445	13345	13171	476	403	73	0	4	45	28	4	41	24	0	0	4	0
