Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
547NM_Rep_PE_HEK_1_2	HDR	97.76186213	2.23813787	5512	1406	1117	1092	25	0	0	1	24	0	1	24	0	0	0	0
547NM_Rep_PE_HEK_2_1	Reference	97.19525351	2.80474649	6463	4074	927	901	26	0	6	1	19	6	1	19	0	0	0	0
547NM_Rep_PE_HEK_2_1	HDR	98.02610634	1.97389366	6463	4074	3141	3079	62	0	2	2	58	2	2	58	0	0	0	0
547NM_Rep_PE_HEK_2_2	Reference	96.45776567	3.54223433	6016	1728	367	354	13	0	4	1	9	4	0	8	0	0	1	0
547NM_Rep_PE_HEK_2_2	HDR	97.5	2.5	6016	1728	1360	1326	34	0	0	0	34	0	0	34	0	0	0	0
547NM_Rep_PE_K562_1_1	Reference	97.00598802	2.99401198	5278	3312	3173	3078	95	0	1	2	94	0	1	93	0	0	0	1
547NM_Rep_PE_K562_1_1	HDR	97.72727273	2.27272727	5278	3312	132	129	3	0	0	0	3	0	0	3	0	0	0	0
547NM_Rep_PE_K562_1_2	Reference	97.85841761	2.14158239	3956	1784	1681	1645	36	0	1	1	34	1	1	34	0	0	0	0
547NM_Rep_PE_K562_1_2	HDR	96.90721649	3.09278351	3956	1784	97	94	3	0	0	0	3	0	0	3	0	0	0	0
547NM_Rep_PE_K562_2_1	Reference	96.40522876	3.59477124	4861	2961	2754	2655	99	0	5	4	93	4	2	91	0	0	1	1
547NM_Rep_PE_K562_2_1	HDR	94.94949495	5.05050505	4861	2961	198	188	10	0	0	1	10	0	0	9	0	0	1	0
